artist,search_track
Beach House,troublemaker
Beach House,black car
Beach House,lazuli
Beach House,drunk in la
Beach House,irene
Beach House,wild
Beach House,girl of the year
Beach House,l'inconnue
Beach House,myth
Beach House,last ride
Beach House,wishes
Beach House,pay no mind
Beach House,the hours
Beach House,other people
Beach House,on the sea
Beach House,lose your smile
Beach House,woo
Bloc Party,luno
Bloc Party,the pioneers
Bloc Party,plans
Bloc Party,blue light
Bloc Party,compliments
Bloc Party,this modern love
Bloc Party,helicopter
Bloc Party,banquet
Bloc Party,positive tension
Bloc Party,like eating glass
Bloc Party,she's hearing voices
Bloc Party,so here we are
Bon Iver,re:stacks
Bon Iver,"minnesota, wi"
Bon Iver,the wolves (act i and ii)
Bon Iver,michicant
Bon Iver,"hinnom, tx"
Bon Iver,for emma
Bon Iver,team
Bon Iver,"lisbon, oh"
Bon Iver,flume
Bon Iver,lump sum
Bon Iver,wash.
Bon Iver,skinny love
Bon Iver,towers
Bon Iver,blindsided
Bon Iver,creature fear
Bon Iver,perth
Bon Iver,calgary
Bon Iver,holocene
Bon Iver,beth/rest
Bonobo,ontario
Bonobo,no reason
Bonobo,migration
Bonobo,surface
Bonobo,grains
Bonobo,figures
Bonobo,second sun
Bonobo,bambro koyo ganda
Bonobo,break apart
Bonobo,7th sevens
Bonobo,kerala
Bonobo,outlier
Brand New,limousine
Brand New,millstone
Brand New,archers
Brand New,handcuffs
Brand New,degausser
Brand New,sowing season (yeah)
Brand New,welcome to bangkok
Brand New,jesus christ
Brand New,not the sun
Brand New,untitled
Brand New,you won't know
Brand New,luca
Bright Eyes,land locked blues
Bright Eyes,road to joy
Bright Eyes,first day of my life
Bright Eyes,another travelin' song
Bright Eyes,at the bottom of everything
Bright Eyes,we are nowhere and it's now
Bright Eyes,lua
Bright Eyes,old soul song (for the new world order)
Bright Eyes,poison oak
Bright Eyes,train under water
Car Seat Headrest,vincent
Car Seat Headrest,destroyed by hippie powers
Car Seat Headrest,(joe gets kicked out of school for using) drugs with friends (but says this isn't a problem)
Car Seat Headrest,the ballad of the costa concordia
Car Seat Headrest,unforgiving girl (she's not an)
Car Seat Headrest,1937 state park
Car Seat Headrest,cosmic hero
Car Seat Headrest,connect the dots (the saga of frank sinatra)
Car Seat Headrest,joe goes to school
Car Seat Headrest,drunk drivers/killer whales
Car Seat Headrest,not what i needed
Car Seat Headrest,fill in the blank
Charli XCX,unlock it (feat. kim petras and jay park)
Charli XCX,delicious (feat. tommy cash)
Charli XCX,backseat (feat. carly rae jepsen)
Charli XCX,porsche (feat. mø)
Charli XCX,out of my head (feat. tove lo and alma)
Charli XCX,"i got it (feat. brooke candy, cupcakke and pabllo vittar)"
Charli XCX,tears (feat. caroline polachek)
Charli XCX,femmebot (feat. dorian electra and mykki blanco)
Charli XCX,track 10
Charli XCX,lucky
Chromatics,there's a light out on the horizon
Chromatics,back from the grave
Chromatics,the page
Chromatics,lady
Chromatics,a matter of time
Chromatics,broken mirrors
Chromatics,the eleventh hour
Chromatics,kill for love
Chromatics,these streets will never look the same
Chromatics,at your door
Chromatics,birds of paradise
Chromatics,the river
Chromatics,dust to dust
Chromatics,into the black
Chromatics,candy
Chromatics,running from the sun
Daft Punk,beyond
Daft Punk,giorgio by moroder
Daft Punk,fragments of time
Daft Punk,doin' it right
Daft Punk,get lucky
Daft Punk,motherboard
Daft Punk,instant crush
Daft Punk,within
Daft Punk,contact
Daft Punk,touch
Daft Punk,give life back to music
Daft Punk,lose yourself to dance
Daft Punk,the game of love
Deafheaven,the pecan tree
Deafheaven,please remember
Deafheaven,dream house
Deafheaven,irresistible
Deafheaven,windows
Deafheaven,sunbather
Deafheaven,vertigo
Death Cab for Cutie,tiny vessels
Death Cab for Cutie,lightness
Death Cab for Cutie,transatlanticism
Death Cab for Cutie,title and registration
Death Cab for Cutie,the new year
Death Cab for Cutie,a lack of color
Death Cab for Cutie,passenger seat
Death Cab for Cutie,we looked like giants
Death Cab for Cutie,the sound of settling
Death Cab for Cutie,expo '86
Death Cab for Cutie,death of an interior decorator
Deftones,back to school - mini maggit
Deftones,pink maggit
Deftones,knife prty
Deftones,elite
Deftones,korea
Deftones,digital bath
Deftones,street carp
Deftones,rx queen
Deftones,feiticeira
Deftones,teenager
Deftones,passenger
Deftones,change (in the house of flies)
Denzel Curry,sirens | z1renz [feat. j.i.d | j.1.d]
Denzel Curry,cash maniac | cazh man1ac [feat. nyyjerya]
Denzel Curry,vengeance | vengeance [feat. jpegmafia & zillakami | jpegmaf1a + z1llakam1]
Denzel Curry,black balloons | 13lack 13alloonz [feat. twelve'len & goldlink | twelve'len + goldl1nk]
Denzel Curry,switch it up | zwitch 1t up
Denzel Curry,percs | percz
Denzel Curry,super saiyan superman | zuper za1yan zuperman
Denzel Curry,taboo | ta13oo
Denzel Curry,clout cobain | clout co13a1n
Denzel Curry,black metal terrorist | 13 m t
Denzel Curry,the blackest balloon | the 13lackezt 13alloon
Denzel Curry,sumo | zumo
Denzel Curry,mad i got it | mad 1 got 1t
Dream Theater,beyond this life
Dream Theater,through her eyes
Dream Theater,regression
Dream Theater,home
Dream Theater,through my words
Dream Theater,the spirit carries on
Dream Theater,one last time
Dream Theater,strange deja vu
Dream Theater,fatal tragedy
Dream Theater,finally free
Fleet Foxes,"cassius, -"
Fleet Foxes,"- naiads, cassadies"
Fleet Foxes,heard them stirring
Fleet Foxes,someone you'd admire
Fleet Foxes,lorelai
Fleet Foxes,helplessness blues
Fleet Foxes,montezuma
Fleet Foxes,grown ocean
Fleet Foxes,fool's errand
Fleet Foxes,the cascades
Fleet Foxes,oliver james
Fleet Foxes,tiger mountain peasant song
Fleet Foxes,your protector
Fleet Foxes,crack-up
Fleet Foxes,on another ocean (january / june)
Fleet Foxes,"if you need to, keep time on me"
Fleet Foxes,he doesn't know why
Fleet Foxes,i should see memphis
Fleet Foxes,meadowlarks
Fleet Foxes,quiet houses
Fleet Foxes,mearcstapa
Fleet Foxes,kept woman
Fleet Foxes,i am all that i need / arroyo seco / thumbprint scar
Fleet Foxes,blue ridge mountains
Fleet Foxes,sun it rises
Fleet Foxes,white winter hymnal
Fleet Foxes,sim sala bim
Fleet Foxes,third of may / ōdaigahara
Fleet Foxes,the shrine / an argument
Fleet Foxes,blue spotted tail
Fleet Foxes,bedouin dress
Fleet Foxes,battery kinzie
Fleet Foxes,the plains / bitter dancer
Fleet Foxes,ragged wood
Fleetwood Mac,never going back again
Fleetwood Mac,you make loving fun
Fleetwood Mac,songbird
Fleetwood Mac,don't stop
Fleetwood Mac,go your own way
Fleetwood Mac,the chain
Fleetwood Mac,dreams
Fleetwood Mac,second hand news
Fleetwood Mac,i don't want to know
Fleetwood Mac,gold dust woman
Fleetwood Mac,oh daddy
Foals,cassius
Foals,balloons
Foals,red socks pugie
Foals,"two steps, twice"
Foals,dearth
Foals,heavy water
Foals,big big love (fig .2)
Foals,tron
Foals,electric bloom
Foals,olympic airways
Foals,brazil is here
Foals,like swimming
Foals,the french open
Frank Ocean,thinkin bout you
Frank Ocean,start
Frank Ocean,solo (reprise)
Frank Ocean,forrest gump
Frank Ocean,futura free
Frank Ocean,good guy
Frank Ocean,white ferrari
Frank Ocean,nights
Frank Ocean,sweet life
Frank Ocean,close to you
Frank Ocean,solo
Frank Ocean,be yourself
Frank Ocean,self control
Frank Ocean,pink + white
Frank Ocean,facebook story
Frank Ocean,fertilizer
Frank Ocean,ivy
Frank Ocean,nikes
Frank Ocean,seigfried
Frank Ocean,super rich kids
Frank Ocean,end
Frank Ocean,monks
Frank Ocean,sierra leone
Frank Ocean,pyramids
Frank Ocean,skyline to
Frank Ocean,godspeed
Frank Ocean,pink matter
Frank Ocean,pretty sweet
Frank Ocean,pilot jones
Frank Ocean,not just money
Frank Ocean,bad religion
Frank Ocean,lost
Frank Ocean,white
Glass Animals,cane shuga
Glass Animals,mama's gun
Glass Animals,take a slice
Glass Animals,agnes
Glass Animals,youth
Glass Animals,pork soda
Glass Animals,the other side of paradise
Glass Animals,poplar st
Glass Animals,life itself
Glass Animals,[premade sandwiches]
Godspeed You! Black Emperor,sleep
Godspeed You! Black Emperor,like antennas to heaven…
Godspeed You! Black Emperor,storm
Godspeed You! Black Emperor,static
Have A Nice Life,a quick one before the eternal worm devours connecticut
Have A Nice Life,"deep, deep"
Have A Nice Life,earthmover
Have A Nice Life,waiting for black metal records to come in the mail
Have A Nice Life,the future
Have A Nice Life,there is no food
Have A Nice Life,i don't love
Have A Nice Life,who would leave their son out in the sun?
Have A Nice Life,telephony
Have A Nice Life,"holy fucking shit: 40,000"
Have A Nice Life,bloodhail
Have A Nice Life,hunter
Have A Nice Life,the big gloom
Interpol,obstacle 2
Interpol,hands away
Interpol,nyc
Interpol,say hello to the angels
Interpol,untitled
Interpol,stella was a diver and she was always down
Interpol,obstacle 1
Interpol,pda
Interpol,roland
Interpol,leif erikson
Interpol,the new
Iron Maiden,2 minutes to midnight
Iron Maiden,rime of the ancient mariner
Iron Maiden,back in the village
Iron Maiden,flash of the blade
Iron Maiden,aces high
Iron Maiden,powerslave
Iron Maiden,losfer words (big 'orra)
John Mayer,the heart of life
John Mayer,why georgia
John Mayer,in your atmosphere
John Mayer,good love is on the way
John Mayer,come when i call
John Mayer,stop this train
John Mayer,free fallin'
John Mayer,everyday i have the blues
John Mayer,daughters
John Mayer,gravity
John Mayer,wait until tomorrow
John Mayer,waiting on the world to change
John Mayer,who did you think i was
John Mayer,i don't trust myself (with loving you)
John Mayer,out of my mind
John Mayer,i'm gonna find another you
John Mayer,bold as love
John Mayer,i don't need no doctor
John Mayer,slow dancing in a burning room
John Mayer,vultures
John Mayer,belief
John Mayer,neon
KIDS SEE GHOSTS,4th dimension
KIDS SEE GHOSTS,cudi montage
KIDS SEE GHOSTS,reborn
KIDS SEE GHOSTS,fire
KIDS SEE GHOSTS,kids see ghosts
KIDS SEE GHOSTS,feel the love
KIDS SEE GHOSTS,freeee (ghost town pt. 2)
Kanye West,two words
Kanye West,flashing lights
Kanye West,the glory
Kanye West,through the wire
Kanye West,all falls down
Kanye West,get em high
Kanye West,workout plan
Kanye West,stronger
Kanye West,homecoming
Kanye West,we don't care
Kanye West,good night
Kanye West,lil jimmy skit
Kanye West,big brother
Kanye West,breathe in breathe out
Kanye West,jesus walks
Kanye West,school spirit skit 1
Kanye West,school spirit skit 2
Kanye West,blame game
Kanye West,hell of a life
Kanye West,gorgeous
Kanye West,monster
Kanye West,family business
Kanye West,spaceship
Kanye West,i'll fly away
Kanye West,runaway
Kanye West,lost in the world
Kanye West,devil in a new dress
Kanye West,all of the lights
Kanye West,everything i am
Kanye West,never let me down
Kanye West,power
Kanye West,intro
Kanye West,so appalled
Kanye West,the new workout plan
Kanye West,graduation day
Kanye West,barry bonds
Kanye West,good life
Kanye West,who will survive in america
Kanye West,i wonder
Kanye West,champion
Kanye West,good morning
Kanye West,last call
Kanye West,drunk and hot girls
Kanye West,can't tell me nothing
Kanye West,school spirit
Kanye West,dark fantasy
Kanye West,all of the lights (interlude)
Kendrick Lamar,lust.
Kendrick Lamar,momma
Kendrick Lamar,hood politics
Kendrick Lamar,these walls
Kendrick Lamar,mortal man
Kendrick Lamar,dna.
Kendrick Lamar,for sale? - interlude
Kendrick Lamar,fear.
Kendrick Lamar,alright
Kendrick Lamar,complexion (a zulu love)
Kendrick Lamar,yah.
Kendrick Lamar,how much a dollar cost
Kendrick Lamar,"sing about me, i'm dying of thirst"
Kendrick Lamar,you ain't gotta lie (momma said)
Kendrick Lamar,god.
Kendrick Lamar,real
Kendrick Lamar,m.a.a.d city
Kendrick Lamar,backseat freestyle
Kendrick Lamar,i
Kendrick Lamar,money trees
Kendrick Lamar,poetic justice
Kendrick Lamar,the blacker the berry
Kendrick Lamar,xxx. feat. u2.
Kendrick Lamar,duckworth.
Kendrick Lamar,loyalty. feat. rihanna.
Kendrick Lamar,sherane a.k.a master splinter’s daughter
Kendrick Lamar,wesley's theory
Kendrick Lamar,"bitch, don’t kill my vibe"
Kendrick Lamar,swimming pools (drank) - extended version
Kendrick Lamar,for free? - interlude
Kendrick Lamar,pride.
Kendrick Lamar,blood.
Kendrick Lamar,feel.
Kendrick Lamar,good kid
Kendrick Lamar,u
Kendrick Lamar,institutionalized
Kendrick Lamar,the art of peer pressure
Kendrick Lamar,compton
Linkin Park,points of authority
Linkin Park,my december
Linkin Park,by myself
Linkin Park,high voltage
Linkin Park,crawling
Linkin Park,somewhere i belong
Linkin Park,in the end
Linkin Park,pushing me away
Linkin Park,from the inside
Linkin Park,forgotten
Linkin Park,figure.09
Linkin Park,a place for my head
Linkin Park,papercut
Linkin Park,hit the floor
Linkin Park,faint
Linkin Park,easier to run
Linkin Park,numb
Linkin Park,foreword
Linkin Park,cure for the itch
Linkin Park,one step closer
Linkin Park,lying from you
Linkin Park,breaking the habit
Linkin Park,with you
Linkin Park,nobody's listening
Linkin Park,session
Linkin Park,don't stay
Linkin Park,runaway
M83,you appearing
M83,up !
M83,too late
M83,dark moves of love
M83,midnight souls still remain
M83,couleurs
M83,graveyard girl
M83,up!
M83,kim & jessie
M83,we own the sky
M83,highway of endless dreams
M83,skin of the night
Massive Attack,(exchange)
Massive Attack,black milk
Massive Attack,dissolved girl
Massive Attack,inertia creeps
Massive Attack,teardrop
Massive Attack,exchange
Massive Attack,group four
Massive Attack,risingson
Massive Attack,mezzanine
Massive Attack,angel
Massive Attack,man next door
Metallica,orion
Metallica,leper messiah
Metallica,battery
Metallica,welcome home (sanitarium)
Metallica,the thing that should not be
Metallica,master of puppets
Metallica,"damage, inc."
Metallica,disposable heroes
Modest Mouse,the stars are projectors
Modest Mouse,life like weeds
Modest Mouse,what people are made of
Modest Mouse,paper thin walls
Modest Mouse,wild packs of family dogs
Modest Mouse,lives
Modest Mouse,alone down there
Modest Mouse,i came as a rat
Modest Mouse,perfect disguise
Modest Mouse,a different city
Modest Mouse,gravity rides everything
Modest Mouse,3rd planet
Modest Mouse,the cold part
Modest Mouse,dark center of the universe
Modest Mouse,tiny cities made of ashes
My Chemical Romance,mama
My Chemical Romance,sleep
My Chemical Romance,famous last words
My Chemical Romance,i don't love you
My Chemical Romance,dead!
My Chemical Romance,house of wolves
My Chemical Romance,welcome to the black parade
My Chemical Romance,cancer
My Chemical Romance,the end.
My Chemical Romance,the sharpest lives
My Chemical Romance,this is how i disappear
My Chemical Romance,disenchanted
My Chemical Romance,teenagers
MØL,penumbra
MØL,bruma
MØL,vakuum
MØL,storm
MØL,lambda
MØL,ligament
Neutral Milk Hotel,oh comely
Neutral Milk Hotel,"holland, 1945"
Neutral Milk Hotel,untitled
Neutral Milk Hotel,the fool
Neutral Milk Hotel,two headed boy part two
Neutral Milk Hotel,the king of carrot flowers parts two and three
Neutral Milk Hotel,two headed boy
Neutral Milk Hotel,the king of carrot flowers pt. one
Neutral Milk Hotel,in the aeroplane over the sea
Neutral Milk Hotel,communist daughter
Neutral Milk Hotel,ghost
Pixies,there goes my gun
Pixies,crackity jones
Pixies,silver
Pixies,mr. grieves
Pixies,hey
Pixies,i bleed
Pixies,monkey gone to heaven
Pixies,wave of mutilation
Pixies,here comes your man
Pixies,gouge away
Pixies,no 13 baby
Pixies,tame
Pixies,dead
Pixies,la la love you
Pixies,debaser
Pulp,sorted for e's & wizz
Pulp,i spy
Pulp,mis-shapes
Pulp,common people
Pulp,underwear
Pulp,disco 2000
Pulp,f.e.e.l.i.n.g.c.a.l.l.e.d.l.o.v.e.
Pulp,something changed
Pulp,pencil skirt
Pulp,bar italia
Pulp,live bed show
Pulp,monday morning
Radiohead,meeting in the aisle 
Radiohead,how i made my millions 
Radiohead,melatonin 
Radiohead,a reminder 
Radiohead,pearly* 
Radiohead,electioneering 
Radiohead,subterranean homesick alien 
Radiohead,tinker tailor soldier sailor rich man poor man beggar man thief
Radiohead,fitter happier 
Radiohead,lucky 
Radiohead,ful stop
Radiohead,planet telex
Radiohead,desert island disk
Radiohead,street spirit (fade out)
Radiohead,the tourist 
Radiohead,palo alto 
Radiohead,my iron lung
Radiohead,weird fishes/ arpeggi
Radiohead,the numbers
Radiohead,glass eyes
Radiohead,untitled
Radiohead,how to disappear completely
Radiohead,reckoner
Radiohead,motion picture soundtrack
Radiohead,high and dry
Radiohead,present tense
Radiohead,house of cards
Radiohead,no surprises 
Radiohead,identikit
Radiohead,the bends
Radiohead,(nice dream)
Radiohead,black star
Radiohead,15 step
Radiohead,bones
Radiohead,burn the witch
Radiohead,morning bell
Radiohead,daydreaming
Radiohead,i promise
Radiohead,lift
Radiohead,lull 
Radiohead,man of war
Radiohead,polyethylene (parts 1 & 2) 
Radiohead,just
Radiohead,fake plastic trees
Radiohead,bodysnatchers
Radiohead,faust arp
Radiohead,exit music (for a film) 
Radiohead,idioteque
Radiohead,karma police 
Radiohead,all i need
Radiohead,decks dark
Radiohead,true love waits
Radiohead,let down 
Radiohead,climbing up the walls 
Radiohead,airbag 
Radiohead,in limbo
Radiohead,jigsaw falling into place
Radiohead,nude
Radiohead,bullet proof ... i wish i was
Radiohead,sulk
Radiohead,treefingers
Radiohead,kid a
Radiohead,everything in its right place
Radiohead,the national anthem
Radiohead,videotape
Radiohead,paranoid android 
Radiohead,optimistic
Sun Kil Moon,jim wise
Sun Kil Moon,truck driver
Sun Kil Moon,pray for newtown
Sun Kil Moon,dogs
Sun Kil Moon,micheline
Sun Kil Moon,i can't live without my mother's love
Sun Kil Moon,ben's my friend
Sun Kil Moon,richard ramirez died today of natural causes
Sun Kil Moon,carissa
Sun Kil Moon,i watched the film the song remains the same
Sun Kil Moon,i love my dad
Tame Impala,the less i know the better
Tame Impala,love/paranoia
Tame Impala,disciples
Tame Impala,yes i'm changing
Tame Impala,reality in motion
Tame Impala,eventually
Tame Impala,gossip
Tame Impala,past life
Tame Impala,nangs
Tame Impala,let it happen
Tame Impala,the moment
Tame Impala,"new person, same old mistakes"
Tame Impala,'cause i'm a man
TesseracT,phoenix
TesseracT,seven names
TesseracT,utopia
TesseracT,dystopia
TesseracT,messenger
TesseracT,survival
TesseracT,tourniquet
TesseracT,hexes
TesseracT,cages
The Cure,plainsong
The Cure,lovesong
The Cure,the same deep water as you
The Cure,untitled
The Cure,lullaby
The Cure,prayers for rain
The Cure,fascination street
The Cure,disintegration
The Cure,last dance
The Cure,lullaby
The Cure,last dance
The Cure,closedown
The Cure,pictures of you
The Cure,prayers for rain
The Cure,homesick
The Microphones,i am bored
The Microphones,i'll not contain you
The Microphones,instrumental
The Microphones,i felt my size
The Microphones,samurai sword
The Microphones,map
The Microphones,my warm blood
The Microphones,my roots are strong and deep
The Microphones,(something)
The Microphones,the mansion
The Microphones,i want to be cold
The Microphones,you'll be in the air
The Microphones,the moon
The Microphones,i want wind to blow
The Microphones,(something) - 1
The Microphones,"the gleam, pt. 2"
The Microphones,instrumental - 2
The Microphones,"the glow, pt. 2"
The Microphones,i felt your shape
The Microphones,headless horseman
The Strokes,last nite
The Strokes,soma
The Strokes,take it or leave it
The Strokes,someday
The Strokes,barely legal
The Strokes,trying your luck
The Strokes,the modern age
The Strokes,"alone, together"
The Strokes,is this it
The Strokes,new york city cops
The Strokes,hard to explain
The Unicorns,the clap
The Unicorns,sea ghost
The Unicorns,tuff ghost
The Unicorns,jellybones
The Unicorns,let's get known
The Unicorns,ghost mountain
The Unicorns,tuff luff
The Unicorns,child star
The Unicorns,i was born (a unicorn)
The Unicorns,inoculate the innocuous
The Unicorns,les os
The Unicorns,ready to die
The Unicorns,i don't wanna die
The Weeknd,the birds pt. 1
The Weeknd,wicked games
The Weeknd,same old song
The Weeknd,the fall
The Weeknd,echoes of silence
The Weeknd,the knowing
The Weeknd,the party & the after party
The Weeknd,losers
The Weeknd,the zone
The Weeknd,prisoner
The Weeknd,as you are
The Weeknd,dark times
The Weeknd,in the night
The Weeknd,the birds pt. 2
The Weeknd,life of the party
The Weeknd,xo / the host
The Weeknd,high for this
The Weeknd,initiation
The Weeknd,outside
The Weeknd,next
The Weeknd,lonely star
The Weeknd,rolling stone
The Weeknd,heaven or las vegas
The Weeknd,gone
The Weeknd,loft music
The Weeknd,thursday
The Weeknd,shameless
The Weeknd,acquainted
The Weeknd,twenty eight
The Weeknd,house of balloons / glass table girls
The Weeknd,coming down
The Weeknd,till dawn (here comes the sun)
The Weeknd,real life
The Weeknd,often
The Weeknd,d.d.
The Weeknd,what you need
The Weeknd,montreal
The Weeknd,tell your friends
The Weeknd,can't feel my face
The Weeknd,the morning
The Weeknd,angel
The Weeknd,valerie
The Weeknd,the hills
Travis Scott,carousel
Travis Scott,stargazing
Travis Scott,r.i.p. screw
Travis Scott,wake up
Travis Scott,can't say
Travis Scott,no bystanders
Travis Scott,sicko mode
Travis Scott,astrothunder
Travis Scott,houstonfornication
Travis Scott,butterfly effect
Travis Scott,skeletons
Travis Scott,stop trying to be god
Travis Scott,who? what!
Travis Scott,yosemite
Travis Scott,coffee bean
Travis Scott,nc-17
Travis Scott,5% tint
Twista,slow jamz
alt-J,(guitar)
alt-J,choice kingdom
alt-J,arrival in nara
alt-J,something good
alt-J,nara
alt-J,(piano)
alt-J,every other freckle
alt-J,fitzpleasure
alt-J,tessellate
alt-J,ms
alt-J,taro
alt-J,left hand free
alt-J,matilda
alt-J,the gospel of john hurt
alt-J,breezeblocks
alt-J,lovely day (bonus track)
alt-J,bloodflood pt.ii
alt-J,warm foothills
alt-J,dissolve me
alt-J,(the ripe & ruin)
alt-J,hunger of the pine
alt-J,leaving nara
alt-J,pusher
alt-J,bloodflood
alt-J,intro
